title,who,what,keywords_bert
서울 오후 2시 서북권·서남권 오존주의보 발령,서울보건환경연구원,오존 주의보,"['주의보', '서울', '서북권·서남권', '오존', '서울보건환경연구원', '발령', '오존주의보', '2시', '오후']"
"칭따오, 프로 스포츠부터 생활 스포츠까지...스포츠 마케팅 강화",칭따오,엔데믹,"['스포츠까지...스포츠', '마케팅', '생활', '프로', '칭따오', '강화', '스포츠부터', '엔데믹', '칭따오,']"
"윤진호 교촌에프앤비 대표, 쿨코리아 챌린지 동참",한국에너지관리공단,"폭염, 폭우 등 기후 위기 ","['위기', '등', '기후', '폭우', '한국에너지관리공단', '동참', '챌린지', '쿨코리아', '교촌에프앤비', '윤진호']"
"[뉴스현장] 계속 드러나는 LH 부실 원인들…경찰, 본사 압수수색",LH ,철근누락 사태 ,"['원인들…경찰,', '[뉴스현장]', '철근누락', 'LH', '사태', '압수수색', '본사', '부실', 'LH', '드러나는']"
'청계 SK뷰' 108가구 분양…22일 1순위 청약 접수,SK에코플랜트,청계 SK뷰 ,"[""SK뷰'"", '분양…22일', ""'청계"", 'SK뷰', '청계', 'SK에코플랜트', '접수', '청약', '1순위', '108가구']"
"'김포전 상대 전적 우위' 충북청주, 안방에서 10G 연속 무패행진 도전",한국프로축구연맹 ,김포의 맞대결은 많은 팬들의 이목을 집중시킬 전망이다. 한편 충북청주는 8월 첫 홈경기를 맞아 다채로운 이벤트를 준비했다. 경기 당일 오후 6시 30분부터 서문 블루스토어 부스에서 팬 사인회가 진행된다. 2023 청원생명축제 ,"[""우위'"", '진행된다.', '전망이다.', '준비했다.', '팬', '첫', '경기', ""'김포전"", '한국프로축구연맹', '이목을']"
소나기에도 체감 33도 무더위 계속…서울 30㎜·대구 60㎜ [내일날씨],황덕현 ,폭염,"['계속…서울', '30㎜·대구', '[내일날씨]', '60㎜', '무더위', '33도', '체감', '소나기에도', '폭염', '황덕현']"
"""의약품 부작용 피해구제 신청방법, 약 봉투로 확인 가능""",대한약사회 ,"정상적인 의약품 사용에도 불구하고 사망, 장애, 질병 ","['""의약품', '약', '장애,', '가능""', '확인', '질병', '불구하고', '사용에도', '의약품', '정상적인']"
"김희선 '6년 경력 단절' 심경 ""애 젖병 물리면서..나이 먹고 늙어 위축됐다""(유퀴즈)[종합]",품위 있는 그녀,경력 단절 공포,"[""단절'"", '물리면서..나이', '위축됐다""(유퀴즈)[종합]', ""'6년"", '공포', '경력', '심경', '젖병', '먹고', '단절']"
"[스브스픽] ""빨리 내려!"" 순식간에 버스 집어삼킨 거대한 불길",부아노스아이레스 경찰,고속도로에 멈춘 버스에서 불이 나기 시작하더니 연료까지 새어 나와 거대한 불길이 도로 전체를 집어삼킵니다.현지시간 16일 아르헨티나 부에노스아이레스의 한 고속도로 CCTV 화면입니다.도로를 달리던 버스에서 갑자기 불이 나기 시작하면서 타고 있던 수십 명의 승객들이 긴급 대피,"['화면입니다.도로를', '경찰', '고속도로', '""빨리', '한', '버스', '[스브스픽]', '집어삼킵니다.현지시간', '새어', '연료까지']"
"박세리 인비테이셔널 12년 역사 '굿바이', OK금융그룹 읏맨오픈으로 새출발한다",OK금융그룹,읏뜸그라운드,"['새출발한다', '읏맨오픈으로', 'OK금융그룹', '역사', '12년', '인비테이셔널', '박세리', '읏뜸그라운드', 'OK금융그룹', ""'굿바이',""]"
"밀리의 서재, 김대호 아나운서 포토 에세이 ‘김대호의 사진 일기’ 연재",서영택,"평일에는 MBC 아나운서, 주말에는 인왕산 자연인으로 살아가는 이야기를 생생하게 담아낼 예정이다. 김대호가 직접 촬영한 사진과 위트 넘치는 글이 더해져 보고 읽는 재미를 전해준다.최근 공개된 1화에서는 ‘나 혼자 산다’에서 소개했던 사적 모임 ‘동대문 사단’과 펜션에서 보낸 2박의 이야기","['일기’', '산다’에서', '사단’과', '예정이다.', '전해준다.최근', '‘동대문', '‘김대호의', 'MBC', '사진', '이야기를']"
이동관 방통위원장 후보자 청문회…'아들 학폭' 공방,강변 아닌가 싶다”고 덧붙였다.앞서 이 후보자는 입장문을 내고 아들의 학폭 의혹을 반박했다. 이 후보자는 “물리다툼은 있었으나 일방가해는 아니며 이후 사과와 화해가 이뤄졌다”고 밝힌바 있다. 강득구 민주당 ,학폭 ,"['덧붙였다.앞서', ""청문회…'아들"", ""학폭'"", '반박했다.', '“물리다툼은', '싶다”고', '이뤄졌다”고', '있다.', '학폭', '입장문을']"
"모모랜드 나윤, 명지대 예술학부 졸업",명지대학교명지대학교,서울공연예술고등학교 방송연예과,"['방송연예과', '서울공연예술고등학교', '명지대학교명지대학교', '졸업', '예술학부', '명지대', '모모랜드', '나윤,']"
"[사설]부동산발 위기경보 울리는 중국경제, 남의 일 아니다",중국,리먼 브라더스 사태,"['[사설]부동산발', '사태', '아니다', '남의', '울리는', '위기경보', '브라더스', '리먼', '중국', '일']"
여자배구 대표팀 반등의 핵심 과제…김연경 없이도 '자신감' 올려라,김연경 ,"배구 여제 김연경이 국가대표팀을 은퇴하면서 전력 공백이 생겼고, 그러면서 자신감을 잃은 게 약점으로 지목됐다. 한 번 자신감을 잃은 뒤엔 코트 안 리더가 부족해 자신감을 되찾지 못하고 무너지는 악순환이 반복","['과제…김연경', '지목됐다.', ""'자신감'"", '한', '안', '대표팀', '반복', '여제', '전력', '은퇴하면서']"
"미국, ‘북한-러시아 무기 거래’ 관련 3개 기관에 제재…“우크라전쟁 지원 색출”",러시아 ,우크라이나 전쟁 ,"['제재…“우크라전쟁', '‘북한-러시아', '색출”', '전쟁', '미국,', '거래’', '관련', '우크라이나', '러시아', '기관에']"
"탁구 조승민, 생애 첫 남자단식 세계 30위 진입",중국,월드테이블테니스(WTT) 컨텐더 리우데자네이루 2023 대회 결과에 따른 것이다. 조승민은 이 대회 4강에 진출했다. 조승민은 4강에서 마츠시마 소라(일본)에게 져 결승 진출에는 실패,"['월드테이블테니스(WTT)', '소라(일본)에게', '세계', '중국', '진출했다.', '것이다.', '첫', '대회', '대회', '진출에는']"
"KOVO 컵대회, 지난해보다 시청률‧관중 소폭 감소",한국배구연맹 ,남녀 대표팀의 국제대회 실패,"['시청률‧관중', '국제대회', '대표팀의', '남녀', '한국배구연맹', '감소', '소폭', '지난해보다', 'KOVO', '실패']"
"대구 찾은 김오진 국토부 차관 ""노후 산업단지 재생사업 적극 추진""",국토교통부 ,산업단지 조성 후 오랜 시간이 경과함에 따라 기반시설의 노후화로 정주여건이 악화되고 생산성이 저하,"['""노후', '후', '산업단지', '산업단지', '생산성이', '찾은', '김오진', '국토부', '차관', '재생사업']"
"꼬모드빈티지, KM차트 협찬 기념 전 제품 최대 50% 할인 이벤트",꼬모드빈티지,KM차트 협찬,"['50%', '기념', '전', '제품', '협찬', 'KM차트', '꼬모드빈티지', '이벤트', '할인', '최대']"
"'반바지 전통의상+맥주? 난감하네' 뮌헨 입단 후 알게된 '연례행사 의무참석' 규칙, 케인은 그저 웃지요",바이에른 뮌헨,독일 전통의상인 반바지를 입고 커다란 맥주잔부터 들어 올려야 한다,"[""난감하네'"", ""의무참석'"", '전통의상+맥주?', '후', ""'반바지"", ""'연례행사"", '올려야', '뮌헨', '입단', '알게된']"
"“부킹전쟁 끝”, 지방 향하던 수도권 골퍼 복귀 중…전년대비 수도권 골프장 이용 7% 증가",엑스골프 회원,부킹전쟁,"['“부킹전쟁', '중…전년대비', '끝”,', '지방', '7%', '부킹전쟁', '회원', '엑스골프', '증가', '이용']"
"롯데리아, AI 기술 적용한 지올팍(Zior Park) 버거 뮤직(BGM) 음원 공개",롯데리아,AI 기술을 활용한 새로운 마케팅 캠페인,"['뮤직(BGM)', '마케팅', 'Park)', '지올팍(Zior', '공개', '캠페인', 'AI', '적용한', '버거', '음원']"
"‘RETECH 2023 제16회 폐기물, 자원순환산업전’ 킨텍스서 8월 30일 개막",한국폐기물협회와 수도권매립지관리공사,"폐기물, 자원순환산업전","['자원순환산업전’', '‘RETECH', '자원순환산업전', '수도권매립지관리공사', '한국폐기물협회와', '개막', '30일', '8월', '킨텍스서', '제16회']"
"[단독]송호준 에코프로 대표, 임원들에게 “자사주 매각자제·사전통보해달라” [투자360]",에코프로그룹 ,스톡옵션,"['[단독]송호준', '매각자제·사전통보해달라”', '“자사주', '[투자360]', '스톡옵션', '에코프로그룹', '임원들에게', '에코프로', '대표,']"
"지란지교데이터-하나시스, 정보보호 환경 구축 위해 맞손",하나시스,키오스크 정보유출과 해킹,"['지란지교데이터-하나시스,', '환경', '키오스크', '하나시스', '맞손', '위해', '구축', '정보보호', '해킹', '정보유출과']"
"휴젤, 히알루론산필러 ‘레볼렉스’ 태국 품목허가 획득",태국 식약처,태국 ,"['‘레볼렉스’', '태국', '식약처', '태국', '획득', '품목허가', '태국', '히알루론산필러', '휴젤,']"
"‘바렛 18점’ 캐나다, 디펜딩 챔피언 스페인 연장 접전 끝 격파[FIBA]",캐나다 농구 대표팀 공식 SNS 제공RJ 바렛(23·뉴욕 닉스)이 두 경기 연속 캐나다,김하영 기자 hayoung0719@kyunghyang.com,"['hayoung0719@kyunghyang.com', '18점’', '기자', '바렛(23·뉴욕', '닉스)이', '격파[FIBA]', '경기', '‘바렛', '챔피언', '대표팀']"
"윤 대통령, 미국 워싱턴 도착…바이든, 부친상 위로 전화",안보 동맹,하와이 마우이 산불,"['동맹', '도착…바이든,', '위로', '미국', '대통령,', '윤', '산불', '마우이', '하와이', '전화']"
"[경남소식] 부마민주항쟁기념재단, 학생 10명에 장학금 지원",부마민주항쟁기념재단,민주화운동 ,"['[경남소식]', '학생', '민주화운동', '부마민주항쟁기념재단', '장학금', '10명에', '부마민주항쟁기념재단,', '지원']"
"한국사이버안보학회, 제3차 국가전략포럼 개최",한국사이버안보학회(KACS) 국가전략위원회,파이브 아이즈 정보동맹,"['한국사이버안보학회(KACS)', '정보동맹', '아이즈', '파이브', '국가전략위원회', '개최', '국가전략포럼', '제3차', '한국사이버안보학회,']"
"'배 침몰' 발언 이철규 ""그럼 당 욕하는 걸 박수쳐야 하나""",같은 당의 구성원,배를 침몰,"['""그럼', ""'배"", ""침몰'"", '당', '발언', '침몰', '당의', '박수쳐야', '욕하는', '이철규']"
"中 부동산, 美 고금리…尹정부 인식도 대응도 안이하다[사설]",중국,차이나 리스크,"['고금리…尹정부', '안이하다[사설]', '부동산,', '중국', '리스크', '차이나', '대응도', '인식도', '中', '美']"
"""꽃 축제는 어디로?"" 네이버에서 지역뉴스 쉽게 본다",네이버,김혜진 네이버 뉴스 리더,"['어디로?""', '""꽃', '뉴스', '리더', '네이버', '김혜진', '네이버', '본다', '쉽게', '지역뉴스']"
"‘마스크걸’ 고현정 “3인 1역, 이렇게 파격적 작품은 처음”",마스크걸,살인혐의,"['“3인', '‘마스크걸’', '살인혐의', '마스크걸', '작품은', '파격적', '이렇게', '고현정', '처음”', '1역,']"
‘한국형 리퍼’ 대북 정찰 ‘중고도 무인기’ 2028년까지 양산…“9800억 원 투입”,방위사업청,대북 감시 ,"['무인기’', '리퍼’', '양산…“9800억', '‘중고도', '‘한국형', '투입”', '감시', '대북', '방위사업청', '2028년까지']"
"금융보안원, '코리아 핀테크 위크 2023' 참가",금융위원회와 한국핀테크지원센터,디지털 금융·사이버 보안 이슈 ,"[""2023'"", '디지털', '금융·사이버', ""'코리아"", '이슈', '보안', '한국핀테크지원센터', '금융위원회와', '참가', '위크']"
"스텔란티스코리아, 8월 ‘푸조 주요 차종 시승 이벤트’ 개최","스텔란티스코리아, 8월 ‘푸조 ",오는 19일 전국 푸조 전시장에서 주요 차종 시승 이벤트를 연다고 18일 밝혔다.이달 스텔란티스가 개최하는 ‘푸조 카페 데이,"['이벤트’', '밝혔다.이달', '‘푸조', '‘푸조', '‘푸조', '오는', '데이', '19일', '8월', '주요']"
[그래픽] 북한 주요 식품 가격 추이,국가정보원,"아사자는 지난 5년간 같은 기간의 2배에 이르는 것으로 국가정보원은 추정했다. 북한은 최근 5년간 1분기 기준 밀가루, 설탕 등 식품물가가 크게 치솟았다","['기준', '식품', '[그래픽]', '가격', '추정했다.', '지난', '크게', '주요', '추이', '국가정보원']"
"SKT, 블록체인 폴리콘랩스와 '맞손'…""웹3 생태계 조성""",폴리곤랩스,웹3,"['\'맞손\'…""웹3', '조성""', '웹3', '폴리곤랩스', '생태계', '폴리콘랩스와', '블록체인', 'SKT,']"
"CJ제일제당-카카오헬스케어, '당 관리' 식품 개발 협력",카카오헬스케어,kr,"['CJ제일제당-카카오헬스케어,', 'kr', '협력', '개발', ""관리'"", '식품', ""'당"", '카카오헬스케어']"
올림픽 유도金 하형주 체육공단 감사 단독 인터뷰 [이종세의 스포츠 코너],기획조정실,내부 직원들의 거액 횡령 등 불미스러운 사건,"['[이종세의', '스포츠', '유도金', '감사', '올림픽', '코너]', '사건', '등', '불미스러운', '직원들의']"
"김재중, 주량 공개 ""소주 97병에 복분자주, 위스키까지…기억도 다 나"" (재친구)",우하머그 ,부산국제영화제,"['위스키까지…기억도', '(재친구)', '""소주', '공개', '다', '부산국제영화제', '우하머그', '97병에', '주량', '복분자주,']"
"썬앳푸드, 아메리칸 패밀리 레스토랑 `캐롤스` 오픈…잠실 롯데월드몰 입점",㈜ 썬앳푸드,캐롤이라는 친구의 집,"['`캐롤스`', '오픈…잠실', '패밀리', '친구의', '캐롤이라는', '썬앳푸드', '㈜', '입점', '롯데월드몰', '레스토랑']"
"국정원 ""평양 인근 폭탄 테러 파악된 바 없어…관련 동향 추적""",국가정보원 ,폭발물 테러,"['없어…관련', '""평양', '국정원', '바', '추적""', '동향', '테러', '폭발물', '국가정보원', '파악된']"
중국 부동산 자산만 '1경 8000조 원'인데...세계 경제에 '빨간불' [Y녹취록],중국 정부,리먼브라더스 사태,"[""'빨간불'"", '부동산', '중국', '중국', ""원'인데...세계"", '[Y녹취록]', '사태', '리먼브라더스', '경제에', '8000조']"
"'스텔라라 시밀러' 특허갈등 소멸..셀트·동아ST ""이상無""",인타스),2건의 자사 특허를 침해,"[""시밀러'"", '인타스)', '소멸..셀트·동아ST', '""이상無""', ""'스텔라라"", '침해', '특허를', '자사', '2건의', '특허갈등']"
‘실축할 뻔했던 마지막 키커’ 카일 워커의 고백 “사실 승부차기 차기 싫었어”,맨시티,사적으로도 바람을 피운 사실이 아내에게 발각,"['키커’', '‘실축할', '싫었어”', '고백', '뻔했던', '마지막', '카일', '워커의', '승부차기', '차기']"
"[할리웃POP]브리트니, 불륜 적발..결혼 14개월만 이혼 당했다",불륜 ,브리트니의 불륜 ,"['[할리웃POP]브리트니,', '불륜', '브리트니의', '불륜', '당했다', '이혼', '14개월만', '불륜', '적발..결혼']"
"""마이데이터, 2025년부터 본격 시행""",마이데이터제도가 2025년 도입된다.정부,마이데이터제도,"['도입된다.정부', '시행""', '""마이데이터,', '마이데이터제도', '2025년', '마이데이터제도가', '본격', '2025년부터']"
"'MSCI 지수 편입' 한미반도체, 18% 급등…사상 최고가 경신[핫종목]",모건스탠리캐피털인터내셔널,회생,"['급등…사상', ""편입'"", '경신[핫종목]', '지수', '18%', ""'MSCI"", '회생', '모건스탠리캐피털인터내셔널', '최고가', '한미반도체,']"
"세일즈포스, 영업일 돕는 '슬랙 세일즈 엘리베이트' 출시",세일즈포스,일반적으로 영업부 직원은 실질적인 영업 활동을 제대로 하지 못한 것으로 나타났다,"[""엘리베이트'"", '활동을', ""'슬랙"", '하지', '영업', '나타났다', '세일즈포스', '영업일', '돕는', '세일즈']"
"브라질 해커 ""보우소나루 전 대통령, 투표기 해킹 의뢰""",브라질 연방경찰,의회 습격 사건,"['""보우소나루', '대통령,', '의뢰""', '전', '사건', '습격', '의회', '연방경찰', '브라질', '해킹']"
"고양시 “대한민국 독서대전, 콘텐츠 공유하면 치킨 증정” 이벤트",고양시,2023 대한민국 독서대전 고양,"['“대한민국', '증정”', '고양', '독서대전', '대한민국', '2023', '고양시', '이벤트', '치킨', '공유하면']"
"'백현동' 의혹 이재명 ""구속영장 청구하면 제 발로 법원 나가겠다""",더불어민주당 ,백현동 특혜 의혹 사건,"[""'백현동'"", '""구속영장', '법원', '제', '나가겠다""', '사건', '의혹', '특혜', '백현동', '더불어민주당']"
"HMM, 코로나 이후 첫 어린이 상선체험 재개",코로나19,코로나19,"['코로나19', '코로나19', '재개', '상선체험', '어린이', '이후', '코로나', '첫', 'HMM,']"
"현대그린푸드, 시니어 배송원 통해 간편식 배송 …""노인 일자리 창출""",현대백화점그룹 ,직장인 점심 식사 배송,"['…""노인', '배송', '식사', '점심', '직장인', '현대백화점그룹', '일자리', '배송', '간편식', '통해']"
"서울신라호텔, 세계 3대 아트페어와 아트캉스 공개",프리즈,2023 프리즈 서울,"['서울', '공개', '세계', '2023', '프리즈', '아트캉스', '아트페어와', '3대', '프리즈', '서울신라호텔,']"
"K리그 외국인 최다 득점자 데얀, 은퇴 선언…""25년 현역 생활 마무리""",한국 ,한국 ,"['한국', '한국', '선언…""25년', '생활', '마무리""', '현역', '은퇴', '득점자', '최다', 'K리그']"
"어차피 1R 지명권은 없다. 그렇다면 적토망아지? … LG, ‘외야 최대어’ 이승민 지명할까 [FN 아마야구]",LG,예기치 못하게 밀리는 사례,"['최대어’', '없다.', '[FN', '‘외야', '아마야구]', '적토망아지?', 'LG', '…', '1R', '지명권은']"
박병곤 판사님 이쯤 되면 입장이라도 밝히시지요! [기자수첩-사회],대법원,노무현 전 대통령 부부 명예훼손 혐의,"['[기자수첩-사회]', '대통령', '전', '밝히시지요!', '혐의', '명예훼손', '부부', '노무현', '대법원', '입장이라도']"
생성AI·X·LK99…유행 타는 '밈코인' 투자 유의,트위터,'페페(PEPE)' 등 비트코인 블록체인 표준인 BRC-20 기반 밈코인이 득세했기 때문이다. BRC-20을 토대로 만들어진 비트코인 NFT의 등장,"[""'페페(PEPE)'"", '생성AI·X·LK99…유행', '때문이다.', 'BRC-20을', ""'밈코인'"", 'BRC-20', '투자', '블록체인', '타는', '유의']"
"사우디 빈살만 왕세자, 수낵 총리 공식 초청에 영국 간다",영국과 사우디 ,카슈끄지 살해,"['총리', '간다', '살해', '카슈끄지', '사우디', '영국과', '영국', '초청에', '공식', '수낵']"
연세대 교정 도는 윤기중 명예교수 운구 차량,연세대학교 대우관,윤석열 대통령 부친 윤기중 연세대 명예교수 운구 차량이 17일 고인이 재직했던 서울 서대문구 연세대학교 대우관을 지나고 있다. 2023.8.17/뉴스1,"['2023.8.17/뉴스1', '대통령', '서울', '차량', '윤기중', '교정', '도는', '윤기중', '명예교수', '운구']"
해피바이러스! 현대캐피탈 홍동선의 라이프스타일,파일럿,배구,"['해피바이러스!', '라이프스타일', '홍동선의', '현대캐피탈', '배구', '파일럿']"
"유엔 안보리, 6년 만에 북한인권 공개회의 개최",유엔 안전보장이사회,북한 인권문제,"['인권문제', '유엔', '개최', '공개회의', '북한인권', '만에', '6년', '유엔', '안전보장이사회', '안보리,']"
"'6번째 3연투'와 맞바꾼 팀의 5연승…KT가 풀어야 할 과제, 더 뚜렷해졌다",KT 위즈,위기,"[""3연투'와"", '5연승…KT가', 'KT', '할', ""'6번째"", '더', '위기', '위즈', '뚜렷해졌다', '풀어야']"
"시큐레터, 말레이시아 사이버보안 행사 ‘사이버DSA 2023’ 참가","말레이시아 디지털통신부, 국방부, 사이버보안청 등 정부기관",문서 기반 해킹 공격,"['2023’', '‘사이버DSA', '등', '공격', '사이버보안', '기반', '문서', '정부기관', '사이버보안청', '말레이시아']"
"7만원 독일제에 뒤통수…""싼맛에 샀는데 냉기가 안 나와요""",한국소비자원,해외 쇼핑몰 등에서 판매된 에어컨의 냉방 기능이 작동하지 않는 피해 사례,"['뒤통수…""싼맛에', '안', '피해', '나와요""', '않는', '사례', '한국소비자원', '독일제에', '샀는데', '냉기가']"
"KCC건설, '스위첸 라이브러리'서 입주민 강연회 개최",교보문고,타이타닉호,"[""'스위첸"", '타이타닉호', '교보문고', '개최', '강연회', '입주민', 'KCC건설,', ""라이브러리'서""]"
"세라젬, KBS '동행' 프로그램 후원 협약",KBS·초록우산 어린이재단,루게릭병 ,"['KBS·초록우산', ""'동행'"", 'KBS', '프로그램', '루게릭병', '어린이재단', '협약', '후원', '세라젬,']"
[지방세제 개편]애 낳고 집 사면 취득세 500만원 한도 면제,1가구 1주택자,전세사기 ,"['개편]애', '[지방세제', '전세사기', '1주택자', '1가구', '면제', '한도', '500만원', '취득세', '사면']"
"삼양식품, 매운 국물라면 브랜드 '맵탱' 출시",삼양식품,"맵탱 제품에서 느낄 수 있는 매운맛 종류와 강도를 한눈에 보기 쉽게 그래프로 도식화한 것으로 맵탱 브랜드가 제공하는 다채로운 매운맛을 직관적으로 보여준다.신제품 ‘맵탱 흑후추소고기라면’은 화끈하고 칼칼한 매운맛을 느낄 수 있는 제품으로, 스트레스 해소","['보여준다.신제품', '흑후추소고기라면’은', ""'맵탱'"", '‘맵탱', '브랜드', '한눈에', '강도를', '종류와', '매운맛', '느낄']"
방심위원장 해촉된 정연주 후임에 류희림 미디어연대 공동대표,미디어연대 ,"방송통신심의위원회는 최근 해촉된 정연주 전 위원장 후임으로 류희림 미디어연대 공동대표가 위촉됐다고 18일 밝혔다. 대구 출신의 류 신임 방심위원은 KBS, YTN 기자를 거쳐 YTNDMB 이사, YTN 플러스 대표이사 사장, 미디어연대 공동대표 등을 지냈으며 윤석열 대통령이 위촉했다. lisa@yna.co.kr","['lisa@yna.co.kr', 'KBS,', '밝혔다.', '위촉했다.', '위원장', '플러스', '최근', '류', '전', '후임에']"
美 장기채 ETF 사들이는 서학개미…수익률 높이려면 주목할 ‘이것’,미국 ,재정 적자 문제 ,"['서학개미…수익률', '미국', '‘이것’', '재정', '적자', '주목할', '높이려면', '사들이는', 'ETF', '장기채']"
"""김광현-오승환 성공했으니 가능해"" STL, 일본 국가대표 에이스 영입할까",세인트루이스 ,애덤 웨인라이트가 올 시즌 종료 후 현역 은퇴를 선언,"['""김광현-오승환', '일본', '후', '올', '시즌', '가능해""', '영입할까', '성공했으니', '국가대표', '에이스']"
"코란 모독에 성난 파키스탄 무슬림, 교회 습격·방화",파키스탄 ,자란왈라의 기독교인이 코란을 모독했다는 이유로 성난 무슬림들이 기독교 구역을 습격해 교회를 불태우고 여러 채의 집을 파손,"['습격·방화', '파손', '이유로', '모독에', '성난', '파키스탄', '파키스탄', '자란왈라의', '기독교인이', '코란을']"
‘징비’ 못하는 나라엔 미래 없다[이현종의 시론],"정부와 조직위원회, 전북도","수해나 대형사고, 학교 폭력 ","['‘징비’', '없다[이현종의', '학교', '미래', '폭력', '수해나', '전북도', '정부와', '나라엔', '못하는']"
[송재우의 야구화(話)] 오심도 경기의 일부? 비디오판독 시대엔 헛소리,심판도 사람,스트라이크-볼 판정 문제,"['야구화(話)]', '[송재우의', '스트라이크-볼', '판정', '심판도', '헛소리', '시대엔', '비디오판독', '경기의', '오심도']"
‘로또 70억’ 당첨자의 K직장인 인증...“회사 계속 다닐래요”,직장인,동행복권,"['70억’', '다닐래요”', '‘로또', '인증...“회사', '동행복권', '직장인', '계속', 'K직장인', '당첨자의']"
"[연합시론] 전경련 복귀 수순 밟은 4대 그룹, 정경유착 고리 끊을 자신 있나",전경련,국정농단 사태 ,"['사태', '국정농단', '전경련', '있나', '자신', '끊을', '고리', '정경유착', '4대', '밟은']"
