title,who,what,keywords_textrank
여자배구 대표팀 반등의 핵심 과제…김연경 없이도 '자신감' 올려라,김연경 ,"배구 여제 김연경이 국가대표팀을 은퇴하면서 전력 공백이 생겼고, 그러면서 자신감을 잃은 게 약점으로 지목됐다. 한 번 자신감을 잃은 뒤엔 코트 안 리더가 부족해 자신감을 되찾지 못하고 무너지는 악순환이 반복","['자신감', '김연경', '반등', '핵심', '과제', '은퇴', '전력', '공백', '국가대표팀', '리더', '대표팀', '약점', '코트', '여제', '지목', '배구', '악순환', '여자배구', '반복']"
"미국, ‘북한-러시아 무기 거래’ 관련 3개 기관에 제재…“우크라전쟁 지원 색출”",러시아 ,우크라이나 전쟁 ,"['러시아', '전쟁', '무기', '관련', '거래', '기관', '제재', '색출', '지원', '북한', '우크라이나', '미국']"
"탁구 조승민, 생애 첫 남자단식 세계 30위 진입",중국,월드테이블테니스(WTT) 컨텐더 리우데자네이루 2023 대회 결과에 따른 것이다. 조승민은 이 대회 4강에 진출했다. 조승민은 4강에서 마츠시마 소라(일본)에게 져 결승 진출에는 실패,"['조승민', '대회', '진출', '진입', '중국', '세계', '단식', '월드', '테이블테니스', '생애', '결승', '남자', '컨텐더', '일본', '소라', '리우데자네이루', '츠시마', '결과', '실패', '탁구']"
"KOVO 컵대회, 지난해보다 시청률‧관중 소폭 감소",한국배구연맹 ,남녀 대표팀의 국제대회 실패,"['대회', '국제', '시청률', '관중', '대표팀', '남녀', '감소', '연맹', '한국', '배구', '지난해', '실패']"
"대구 찾은 김오진 국토부 차관 ""노후 산업단지 재생사업 적극 추진""",국토교통부 ,산업단지 조성 후 오랜 시간이 경과함에 따라 기반시설의 노후화로 정주여건이 악화되고 생산성이 저하,"['노후', '산업', '악화', '여건', '정주', '차관', '화로', '기반시설', '적극', '국토교통부', '조성', '추진', '사업', '경과', '재생', '생산', '국토부', '저하', '대구']"
"꼬모드빈티지, KM차트 협찬 기념 전 제품 최대 50% 할인 이벤트",꼬모드빈티지,KM차트 협찬,"['꼬모드빈티', '협찬', '차트', '최대', '할인', '제품', '기념', '이벤트']"
"'반바지 전통의상+맥주? 난감하네' 뮌헨 입단 후 알게된 '연례행사 의무참석' 규칙, 케인은 그저 웃지요",바이에른 뮌헨,독일 전통의상인 반바지를 입고 커다란 맥주잔부터 들어 올려야 한다,"['뮌헨', '전통의상', '반바지', '의무', '참석', '행사', '규칙', '연례', '케인', '입단', '바이에른', '맥주', '독일', '맥주잔']"
"“부킹전쟁 끝”, 지방 향하던 수도권 골퍼 복귀 중…전년대비 수도권 골프장 이용 7% 증가",엑스골프 회원,부킹전쟁,"['수도권', '부킹', '전쟁', '엑스', '증가', '골프', '이용', '회원', '골프장', '대비', '골퍼', '지방', '복귀']"
"롯데리아, AI 기술 적용한 지올팍(Zior Park) 버거 뮤직(BGM) 음원 공개",롯데리아,AI 기술을 활용한 새로운 마케팅 캠페인,"['기술', '롯데리아', '활용', '뮤직', '버거', '음원', '적용', '공개', '마케팅', '캠페인']"
"‘RETECH 2023 제16회 폐기물, 자원순환산업전’ 킨텍스서 8월 30일 개막",한국폐기물협회와 수도권매립지관리공사,"폐기물, 자원순환산업전","['폐기물', '자원', '순환', '산업', '협회', '수도권매립지', '관리', '한국', '공사', '개막', '킨텍스']"
"[단독]송호준 에코프로 대표, 임원들에게 “자사주 매각자제·사전통보해달라” [투자360]",에코프로그룹 ,스톡옵션,"['에코', '프로', '매각', '사주', '자제', '임원', '통보', '대표', '투자', '그룹', '송호', '단독', '스톡옵션']"
"지란지교데이터-하나시스, 정보보호 환경 구축 위해 맞손",하나시스,키오스크 정보유출과 해킹,"['시스', '정보', '오스', '정보보호', '위해', '환경', '구축', '유출', '데이터', '해킹', '지란']"
"휴젤, 히알루론산필러 ‘레볼렉스’ 태국 품목허가 획득",태국 식약처,태국 ,"['태국', '볼렉스', '품목', '획득', '허가', '필러', '식약처', '히알루론산']"
"‘바렛 18점’ 캐나다, 디펜딩 챔피언 스페인 연장 접전 끝 격파[FIBA]",캐나다 농구 대표팀 공식 SNS 제공RJ 바렛(23·뉴욕 닉스)이 두 경기 연속 캐나다,김하영 기자 hayoung0719@kyunghyang.com,"['캐나다', '바렛', '연속', '연장', '스페인', '닉스', '경기', '뉴욕', '접전', '챔피언', '제공', '격파', '공식', '대표팀', '농구', '디펜딩', '김하영', '기자']"
"윤 대통령, 미국 워싱턴 도착…바이든, 부친상 위로 전화",안보 동맹,하와이 마우이 산불,"['워싱턴', '하와이', '동맹', '도착', '바이든', '안보', '부친상', '전화', '위로', '미국', '마우이', '대통령', '산불']"
"[경남소식] 부마민주항쟁기념재단, 학생 10명에 장학금 지원",부마민주항쟁기념재단,민주화운동 ,"['부마', '재단', '민주', '기념', '항쟁', '장학금', '학생', '지원', '소식', '민주화', '경남', '운동']"
"한국사이버안보학회, 제3차 국가전략포럼 개최",한국사이버안보학회(KACS) 국가전략위원회,파이브 아이즈 정보동맹,"['전략', '국가', '학회', '안보', '사이버', '아이즈', '한국', '파이브', '위원회', '정보', '포럼', '개최', '동맹']"
"'배 침몰' 발언 이철규 ""그럼 당 욕하는 걸 박수쳐야 하나""",같은 당의 구성원,배를 침몰,"['침몰', '이철규', '박수', '발언', '구성원']"
"中 부동산, 美 고금리…尹정부 인식도 대응도 안이하다[사설]",중국,차이나 리스크,"['정부', '중국', '인식', '사설', '대응', '금리', '차이나', '부동산', '리스크']"
"""꽃 축제는 어디로?"" 네이버에서 지역뉴스 쉽게 본다",네이버,김혜진 네이버 뉴스 리더,"['네이버', '뉴스', '지역', '김혜진', '축제', '리더']"
"‘마스크걸’ 고현정 “3인 1역, 이렇게 파격적 작품은 처음”",마스크걸,살인혐의,"['마스크', '처음', '파격', '작품', '살인', '고현정', '혐의']"
‘한국형 리퍼’ 대북 정찰 ‘중고도 무인기’ 2028년까지 양산…“9800억 원 투입”,방위사업청,대북 감시 ,"['대북', '방위사업청', '정찰', '양산', '투입', '무인기', '중고', '리퍼', '한국', '감시']"
"금융보안원, '코리아 핀테크 위크 2023' 참가",금융위원회와 한국핀테크지원센터,디지털 금융·사이버 보안 이슈 ,"['금융', '테크', '보안', '사이버', '디지털', '지원', '센터', '한국', '위원회', '참가', '코리아', '이슈']"
"스텔란티스코리아, 8월 ‘푸조 주요 차종 시승 이벤트’ 개최","스텔란티스코리아, 8월 ‘푸조 ",오는 19일 전국 푸조 전시장에서 주요 차종 시승 이벤트를 연다고 18일 밝혔다.이달 스텔란티스가 개최하는 ‘푸조 카페 데이,"['푸조', '란티스', '스텔', '차종', '개최', '주요', '이벤트', '코리아', '전시장', '전국', '연다', '카페', '데이']"
[그래픽] 북한 주요 식품 가격 추이,국가정보원,"아사자는 지난 5년간 같은 기간의 2배에 이르는 것으로 국가정보원은 추정했다. 북한은 최근 5년간 1분기 기준 밀가루, 설탕 등 식품물가가 크게 치솟았다","['식품', '국가정보원', '북한', '설탕', '주요', '밀가루', '기준', '최근', '가격', '추이', '추정', '아사자', '기간', '지난', '물가', '크게', '그래픽']"
"SKT, 블록체인 폴리콘랩스와 '맞손'…""웹3 생태계 조성""",폴리곤랩스,웹3,"['폴리콘랩스', '조성', '생태계', '체인', '폴리곤', '블록', '랩스']"
"CJ제일제당-카카오헬스케어, '당 관리' 식품 개발 협력",카카오헬스케어,kr,"['카카오', '스케', '식품', '개발', '관리', '협력', '제일제당']"
올림픽 유도金 하형주 체육공단 감사 단독 인터뷰 [이종세의 스포츠 코너],기획조정실,내부 직원들의 거액 횡령 등 불미스러운 사건,"['하형주', '횡령', '체육', '거액', '공단', '직원', '감사', '내부', '단독', '정실', '기획', '인터뷰', '이종', '코너', '스포츠', '유도', '불미', '올림픽', '사건']"
"김재중, 주량 공개 ""소주 97병에 복분자주, 위스키까지…기억도 다 나"" (재친구)",우하머그 ,부산국제영화제,"['공개', '부산', '소주', '친구', '복분자주', '기억', '위스키', '주량', '국제', '김재중', '영화제']"
"썬앳푸드, 아메리칸 패밀리 레스토랑 `캐롤스` 오픈…잠실 롯데월드몰 입점",㈜ 썬앳푸드,캐롤이라는 친구의 집,"['푸드', '썬앳', '오픈', '롤스', '잠실', '레스토랑', '롯데', '패밀리', '월드', '아메리칸', '입점', '캐롤', '친구']"
"국정원 ""평양 인근 폭탄 테러 파악된 바 없어…관련 동향 추적""",국가정보원 ,폭발물 테러,"['테러', '인근', '폭탄', '추적', '국가정보원', '파악', '동향', '관련', '평양', '폭발물', '국정원']"
중국 부동산 자산만 '1경 8000조 원'인데...세계 경제에 '빨간불' [Y녹취록],중국 정부,리먼브라더스 사태,"['중국', '리먼', '정부', '세계', '녹취록', '자산', '경제', '브라더스', '부동산', '사태']"
"'스텔라라 시밀러' 특허갈등 소멸..셀트·동아ST ""이상無""",인타스),2건의 자사 특허를 침해,"['특허', '자사', '갈등', '인타', '건의', '셀트', '소멸', '동아', '밀러', '스텔라', '침해']"
‘실축할 뻔했던 마지막 키커’ 카일 워커의 고백 “사실 승부차기 차기 싫었어”,맨시티,사적으로도 바람을 피운 사실이 아내에게 발각,"['사실', '카일', '워커', '고백', '바람', '맨시티', '승부차기', '사적', '차기', '마지막', '아내', '실축', '발각']"
"[할리웃POP]브리트니, 불륜 적발..결혼 14개월만 이혼 당했다",불륜 ,브리트니의 불륜 ,"['불륜', '브리트니', '결혼', '개월', '적발', '이혼', '할리웃']"
"""마이데이터, 2025년부터 본격 시행""",마이데이터제도가 2025년 도입된다.정부,마이데이터제도,"['마이', '데이터', '제도', '도입', '정부', '본격', '시행']"
"'MSCI 지수 편입' 한미반도체, 18% 급등…사상 최고가 경신[핫종목]",모건스탠리캐피털인터내셔널,회생,"['한미', '캐피털', '모건스탠리', '반도체', '급등', '종목', '사상', '경신', '최고', '편입', '인터내셔널', '지수', '회생']"
"세일즈포스, 영업일 돕는 '슬랙 세일즈 엘리베이트' 출시",세일즈포스,일반적으로 영업부 직원은 실질적인 영업 활동을 제대로 하지 못한 것으로 나타났다,"['영업', '포스', '엘리', '슬랙', '베이트', '실질', '출시', '일반', '직원', '활동', '영업일', '제대로']"
"브라질 해커 ""보우소나루 전 대통령, 투표기 해킹 의뢰""",브라질 연방경찰,의회 습격 사건,"['브라질', '의회', '경찰', '연방', '나루', '보우', '대통령', '투표', '의뢰', '해킹', '습격', '해커', '사건']"
"고양시 “대한민국 독서대전, 콘텐츠 공유하면 치킨 증정” 이벤트",고양시,2023 대한민국 독서대전 고양,"['독서', '대전', '대한민국', '고양시', '치킨', '공유', '증정', '콘텐츠', '이벤트', '고양']"
"'백현동' 의혹 이재명 ""구속영장 청구하면 제 발로 법원 나가겠다""",더불어민주당 ,백현동 특혜 의혹 사건,"['의혹', '백현동', '특혜', '청구', '민주당', '구속영장', '법원', '이재명', '사건']"
"HMM, 코로나 이후 첫 어린이 상선체험 재개",코로나19,코로나19,"['코로나', '상선', '어린이', '체험', '재개', '이후']"
"현대그린푸드, 시니어 배송원 통해 간편식 배송 …""노인 일자리 창출""",현대백화점그룹 ,직장인 점심 식사 배송,"['배송', '현대', '직장인', '그룹', '점심', '백화점', '푸드', '시니어', '일자리', '노인', '통해', '간편식', '그린', '식사']"
"서울신라호텔, 세계 3대 아트페어와 아트캉스 공개",프리즈,2023 프리즈 서울,"['아트', '프리즈', '호텔', '세계', '서울', '페어', '캉스', '공개', '신라']"
"K리그 외국인 최다 득점자 데얀, 은퇴 선언…""25년 현역 생활 마무리""",한국 ,한국 ,"['득점', '데얀', '은퇴', '선언', '현역', '생활', '마무리', '한국', '외국인', '리그']"
"어차피 1R 지명권은 없다. 그렇다면 적토망아지? … LG, ‘외야 최대어’ 이승민 지명할까 [FN 아마야구]",LG,예기치 못하게 밀리는 사례,"['지명', '아마', '적토', '이승민', '외야', '망아지', '최대', '야구', '사례', '어차피']"
박병곤 판사님 이쯤 되면 입장이라도 밝히시지요! [기자수첩-사회],대법원,노무현 전 대통령 부부 명예훼손 혐의,"['이쯤', '부부', '대통령', '입장', '기자', '노무현', '수첩', '대법원', '사회', '판사', '명예훼손', '박병곤', '혐의']"
생성AI·X·LK99…유행 타는 '밈코인' 투자 유의,트위터,'페페(PEPE)' 등 비트코인 블록체인 표준인 BRC-20 기반 밈코인이 득세했기 때문이다. BRC-20을 토대로 만들어진 비트코인 NFT의 등장,"['비트코인', '투자', '유의', '트위터', '토대', '페페', '득세', '밈코인', '기반', '때문', '표준', '블록', '체인', '밈코', '유행', '등장']"
"사우디 빈살만 왕세자, 수낵 총리 공식 초청에 영국 간다",영국과 사우디 ,카슈끄지 살해,"['영국', '사우디', '수낵', '왕세자', '총리', '공식', '초청', '간다', '카슈끄', '빈살', '살해']"
연세대 교정 도는 윤기중 명예교수 운구 차량,연세대학교 대우관,윤석열 대통령 부친 윤기중 연세대 명예교수 운구 차량이 17일 고인이 재직했던 서울 서대문구 연세대학교 대우관을 지나고 있다. 2023.8.17/뉴스1,"['연세대학교', '윤기', '차량', '교수', '명예', '우관', '연세대', '서울', '서대문구', '재직', '윤석열', '대통령', '부친', '고인', '교정', '뉴스']"
해피바이러스! 현대캐피탈 홍동선의 라이프스타일,파일럿,배구,"['현대', '라이프스타일', '캐피탈', '선의', '바이러스', '파일럿', '해피', '배구']"
"유엔 안보리, 6년 만에 북한인권 공개회의 개최",유엔 안전보장이사회,북한 인권문제,"['북한', '인권', '유엔', '개최', '회의', '공개', '안전보장', '이사회', '안보리', '문제']"
"'6번째 3연투'와 맞바꾼 팀의 5연승…KT가 풀어야 할 과제, 더 뚜렷해졌다",KT 위즈,위기,"['과제', '위즈', '연승', '위기']"
"시큐레터, 말레이시아 사이버보안 행사 ‘사이버DSA 2023’ 참가","말레이시아 디지털통신부, 국방부, 사이버보안청 등 정부기관",문서 기반 해킹 공격,"['사이버', '보안', '말레이시아', '기반', '문서', '기관', '정부', '해킹', '디지털', '신부', '국방부', '참가', '행사', '공격', '레터']"
"7만원 독일제에 뒤통수…""싼맛에 샀는데 냉기가 안 나와요""",한국소비자원,해외 쇼핑몰 등에서 판매된 에어컨의 냉방 기능이 작동하지 않는 피해 사례,"['냉기', '작동', '한국', '기능', '소비자원', '냉방', '해외', '에어컨', '쇼핑몰', '판매', '뒤통수', '피해', '독일', '사례']"
"KCC건설, '스위첸 라이브러리'서 입주민 강연회 개최",교보문고,타이타닉호,"['라이브러리', '교보', '주민', '개최', '강연', '스위첸', '문고', '건설', '타이타닉호']"
"세라젬, KBS '동행' 프로그램 후원 협약",KBS·초록우산 어린이재단,루게릭병 ,"['프로그램', '우산', '후원', '초록', '협약', '동행', '어린이재단', '세라', '루게릭병']"
[지방세제 개편]애 낳고 집 사면 취득세 500만원 한도 면제,1가구 1주택자,전세사기 ,"['개편', '주택', '사면', '가구', '취득세', '면제', '한도', '세제', '전세', '지방', '사기']"
"삼양식품, 매운 국물라면 브랜드 '맵탱' 출시",삼양식품,"맵탱 제품에서 느낄 수 있는 매운맛 종류와 강도를 한눈에 보기 쉽게 그래프로 도식화한 것으로 맵탱 브랜드가 제공하는 다채로운 매운맛을 직관적으로 보여준다.신제품 ‘맵탱 흑후추소고기라면’은 화끈하고 칼칼한 매운맛을 느낄 수 있는 제품으로, 스트레스 해소","['제품', '브랜드', '라면', '삼양식품', '보기', '한눈', '강도', '신제품', '그래프', '도식', '제공', '직관', '후추', '종류', '소고기', '출시', '스트레스', '국물', '해소']"
방심위원장 해촉된 정연주 후임에 류희림 미디어연대 공동대표,미디어연대 ,"방송통신심의위원회는 최근 해촉된 정연주 전 위원장 후임으로 류희림 미디어연대 공동대표가 위촉됐다고 18일 밝혔다. 대구 출신의 류 신임 방심위원은 KBS, YTN 기자를 거쳐 YTNDMB 이사, YTN 플러스 대표이사 사장, 미디어연대 공동대표 등을 지냈으며 윤석열 대통령이 위촉했다. lisa@yna.co.kr","['연대', '미디어', '대표', '해촉', '정연주', '후임', '희림', '공동', '위원장', '위촉', '기자', '방심위', '이사', '신임', '플러스', '출신', '대표이사', '대구', '위원회', '최근', '사장', '심의', '윤석열', '방송통신', '대통령', '방심']"
美 장기채 ETF 사들이는 서학개미…수익률 높이려면 주목할 ‘이것’,미국 ,재정 적자 문제 ,"['개미', '재정', '수익률', '미국', '주목', '서학', '적자', '장기', '문제']"
"""김광현-오승환 성공했으니 가능해"" STL, 일본 국가대표 에이스 영입할까",세인트루이스 ,애덤 웨인라이트가 올 시즌 종료 후 현역 은퇴를 선언,"['일본', '현역', '종료', '국가대표', '에이스', '시즌', '세인트루이스', '웨인라이트', '애덤', '오승환', '은퇴', '김광현', '선언']"
"코란 모독에 성난 파키스탄 무슬림, 교회 습격·방화",파키스탄 ,자란왈라의 기독교인이 코란을 모독했다는 이유로 성난 무슬림들이 기독교 구역을 습격해 교회를 불태우고 여러 채의 집을 파손,"['교회', '습격', '파키스탄', '무슬림', '모독', '코란', '자란왈라', '기독교', '방화', '구역', '기독교인', '이유', '여러', '파손']"
‘징비’ 못하는 나라엔 미래 없다[이현종의 시론],"정부와 조직위원회, 전북도","수해나 대형사고, 학교 폭력 ","['미래', '사고', '이현종', '대형', '시론', '수해', '정부', '전북도', '조직', '위원회', '나라', '학교', '징비', '폭력']"
[송재우의 야구화(話)] 오심도 경기의 일부? 비디오판독 시대엔 헛소리,심판도 사람,스트라이크-볼 판정 문제,"['오심', '스트라이크', '경기', '사람', '일부', '심판', '비디오', '헛소리', '판독', '시대', '야구', '판정', '송재우', '문제']"
‘로또 70억’ 당첨자의 K직장인 인증...“회사 계속 다닐래요”,직장인,동행복권,"['직장인', '자의', '계속', '인증', '회사', '당첨', '로또', '행복']"
"[연합시론] 전경련 복귀 수순 밟은 4대 그룹, 정경유착 고리 끊을 자신 있나",전경련,국정농단 사태 ,"['전경련', '국정', '복귀', '고리', '그룹', '정경', '수순', '유착', '농단', '시론', '사태', '연합']"
"'우주패권' 강화…머스크의 스페이스X, 2년만에 적자 탈출",일론 머스크,스페이스X가 사실상 우주 발사체 시장을 장악하고 있다고 보도하기도 했다. WSJ는 “스페이스X가 경쟁사들이 따라올 수 없는 속도로 저렴한 가격과 검증된 재사용 로켓을 내세워 발사체 시장의 상당 부분을 장악,"['스페이스', '시장', '발사체', '머스크', '장악', '우주', '가격', '검증', '재사용', '속도', '경쟁', '로켓', '상당', '보도', '강화', '적자', '사실', '탈출', '부분', '패권']"
