title,who,what,keywords_rake
여자배구 대표팀 반등의 핵심 과제…김연경 없이도 '자신감' 올려라,김연경 ,"배구 여제 김연경이 국가대표팀을 은퇴하면서 전력 공백이 생겼고, 그러면서 자신감을 잃은 게 약점으로 지목됐다. 한 번 자신감을 잃은 뒤엔 코트 안 리더가 부족해 자신감을 되찾지 못하고 무너지는 악순환이 반복",['여자배구 대표팀 반등 핵심 과제 김연경 자신감 김연경 배구 여제 김연경 국가대표팀 은퇴 전력 공백 자신감 약점 지목 자신감 코트 리더 자신감 악순환 반복']
"미국, ‘북한-러시아 무기 거래’ 관련 3개 기관에 제재…“우크라전쟁 지원 색출”",러시아 ,우크라이나 전쟁 ,['미국 북한 러시아 무기 거래 관련 기관 제재 전쟁 지원 색출 러시아 우크라이나 전쟁']
"탁구 조승민, 생애 첫 남자단식 세계 30위 진입",중국,월드테이블테니스(WTT) 컨텐더 리우데자네이루 2023 대회 결과에 따른 것이다. 조승민은 이 대회 4강에 진출했다. 조승민은 4강에서 마츠시마 소라(일본)에게 져 결승 진출에는 실패,['탁구 조승민 생애 남자 단식 세계 진입 중국 월드 테이블테니스 컨텐더 리우데자네이루 대회 결과 조승민 대회 진출 조승민 츠시마 소라 일본 결승 진출 실패']
"KOVO 컵대회, 지난해보다 시청률‧관중 소폭 감소",한국배구연맹 ,남녀 대표팀의 국제대회 실패,['대회 지난해 시청률 관중 감소 한국 배구 연맹 남녀 대표팀 국제 대회 실패']
"대구 찾은 김오진 국토부 차관 ""노후 산업단지 재생사업 적극 추진""",국토교통부 ,산업단지 조성 후 오랜 시간이 경과함에 따라 기반시설의 노후화로 정주여건이 악화되고 생산성이 저하,['대구 국토부 차관 노후 산업 재생 사업 적극 추진 국토교통부 산업 조성 경과 기반시설 노후 화로 정주 여건 악화 생산 저하']
"꼬모드빈티지, KM차트 협찬 기념 전 제품 최대 50% 할인 이벤트",꼬모드빈티지,KM차트 협찬,['꼬모드빈티 차트 협찬 기념 제품 최대 할인 이벤트 꼬모드빈티 차트 협찬']
"'반바지 전통의상+맥주? 난감하네' 뮌헨 입단 후 알게된 '연례행사 의무참석' 규칙, 케인은 그저 웃지요",바이에른 뮌헨,독일 전통의상인 반바지를 입고 커다란 맥주잔부터 들어 올려야 한다,['반바지 전통의상 맥주 뮌헨 입단 연례 행사 의무 참석 규칙 케인 바이에른 뮌헨 독일 전통의상 반바지 맥주잔']
"“부킹전쟁 끝”, 지방 향하던 수도권 골퍼 복귀 중…전년대비 수도권 골프장 이용 7% 증가",엑스골프 회원,부킹전쟁,['부킹 전쟁 지방 수도권 골퍼 복귀 대비 수도권 골프장 이용 증가 엑스 골프 회원 부킹 전쟁']
"롯데리아, AI 기술 적용한 지올팍(Zior Park) 버거 뮤직(BGM) 음원 공개",롯데리아,AI 기술을 활용한 새로운 마케팅 캠페인,['롯데리아 기술 적용 버거 뮤직 음원 공개 롯데리아 기술 활용 마케팅 캠페인']
"‘RETECH 2023 제16회 폐기물, 자원순환산업전’ 킨텍스서 8월 30일 개막",한국폐기물협회와 수도권매립지관리공사,"폐기물, 자원순환산업전",['폐기물 자원 순환 산업 킨텍스 개막 한국 폐기물 협회 수도권매립지 관리 공사 폐기물 자원 순환 산업']
"[단독]송호준 에코프로 대표, 임원들에게 “자사주 매각자제·사전통보해달라” [투자360]",에코프로그룹 ,스톡옵션,['단독 송호 에코 프로 대표 임원 사주 매각 자제 통보 투자 에코 프로 그룹 스톡옵션']
"지란지교데이터-하나시스, 정보보호 환경 구축 위해 맞손",하나시스,키오스크 정보유출과 해킹,['지란 데이터 시스 정보보호 환경 구축 위해 시스 오스 정보 유출 해킹']
"휴젤, 히알루론산필러 ‘레볼렉스’ 태국 품목허가 획득",태국 식약처,태국 ,['히알루론산 필러 볼렉스 태국 품목 허가 획득 태국 식약처 태국']
"‘바렛 18점’ 캐나다, 디펜딩 챔피언 스페인 연장 접전 끝 격파[FIBA]",캐나다 농구 대표팀 공식 SNS 제공RJ 바렛(23·뉴욕 닉스)이 두 경기 연속 캐나다,김하영 기자 hayoung0719@kyunghyang.com,['바렛 캐나다 디펜딩 챔피언 스페인 연장 접전 격파 캐나다 농구 대표팀 공식 제공 바렛 뉴욕 닉스 경기 연속 캐나다 김하영 기자']
"윤 대통령, 미국 워싱턴 도착…바이든, 부친상 위로 전화",안보 동맹,하와이 마우이 산불,['대통령 미국 워싱턴 도착 바이든 부친상 위로 전화 안보 동맹 하와이 마우이 산불']
"[경남소식] 부마민주항쟁기념재단, 학생 10명에 장학금 지원",부마민주항쟁기념재단,민주화운동 ,['경남 소식 부마 민주 항쟁 기념 재단 학생 장학금 지원 부마 민주 항쟁 기념 재단 민주화 운동']
"한국사이버안보학회, 제3차 국가전략포럼 개최",한국사이버안보학회(KACS) 국가전략위원회,파이브 아이즈 정보동맹,['한국 사이버 안보 학회 국가 전략 포럼 개최 한국 사이버 안보 학회 국가 전략 위원회 파이브 아이즈 정보 동맹']
"'배 침몰' 발언 이철규 ""그럼 당 욕하는 걸 박수쳐야 하나""",같은 당의 구성원,배를 침몰,['침몰 발언 이철규 박수 구성원 침몰']
"中 부동산, 美 고금리…尹정부 인식도 대응도 안이하다[사설]",중국,차이나 리스크,['부동산 금리 정부 인식 대응 사설 중국 차이나 리스크']
"""꽃 축제는 어디로?"" 네이버에서 지역뉴스 쉽게 본다",네이버,김혜진 네이버 뉴스 리더,['축제 네이버 지역 뉴스 네이버 김혜진 네이버 뉴스 리더']
"‘마스크걸’ 고현정 “3인 1역, 이렇게 파격적 작품은 처음”",마스크걸,살인혐의,['마스크 고현정 파격 작품 처음 마스크 살인 혐의']
‘한국형 리퍼’ 대북 정찰 ‘중고도 무인기’ 2028년까지 양산…“9800억 원 투입”,방위사업청,대북 감시 ,['한국 리퍼 대북 정찰 중고 무인기 양산 투입 방위사업청 대북 감시']
"금융보안원, '코리아 핀테크 위크 2023' 참가",금융위원회와 한국핀테크지원센터,디지털 금융·사이버 보안 이슈 ,['금융 보안 코리아 테크 참가 금융 위원회 한국 테크 지원 센터 디지털 금융 사이버 보안 이슈']
"스텔란티스코리아, 8월 ‘푸조 주요 차종 시승 이벤트’ 개최","스텔란티스코리아, 8월 ‘푸조 ",오는 19일 전국 푸조 전시장에서 주요 차종 시승 이벤트를 연다고 18일 밝혔다.이달 스텔란티스가 개최하는 ‘푸조 카페 데이,['스텔 란티스 코리아 푸조 주요 차종 이벤트 개최 스텔 란티스 코리아 푸조 전국 푸조 전시장 주요 차종 이벤트 연다 스텔 란티스 개최 푸조 카페 데이']
[그래픽] 북한 주요 식품 가격 추이,국가정보원,"아사자는 지난 5년간 같은 기간의 2배에 이르는 것으로 국가정보원은 추정했다. 북한은 최근 5년간 1분기 기준 밀가루, 설탕 등 식품물가가 크게 치솟았다",['그래픽 북한 주요 식품 가격 추이 국가정보원 아사자 지난 기간 국가정보원 추정 북한 최근 기준 밀가루 설탕 식품 물가 크게']
"SKT, 블록체인 폴리콘랩스와 '맞손'…""웹3 생태계 조성""",폴리곤랩스,웹3,['블록 체인 폴리콘랩스 생태계 조성 폴리곤 랩스']
"CJ제일제당-카카오헬스케어, '당 관리' 식품 개발 협력",카카오헬스케어,kr,['제일제당 카카오 스케 관리 식품 개발 협력 카카오 스케']
올림픽 유도金 하형주 체육공단 감사 단독 인터뷰 [이종세의 스포츠 코너],기획조정실,내부 직원들의 거액 횡령 등 불미스러운 사건,['올림픽 유도 하형주 체육 공단 감사 단독 인터뷰 이종 스포츠 코너 기획 정실 내부 직원 거액 횡령 불미 사건']
"김재중, 주량 공개 ""소주 97병에 복분자주, 위스키까지…기억도 다 나"" (재친구)",우하머그 ,부산국제영화제,['김재중 주량 공개 소주 복분자주 위스키 기억 친구 부산 국제 영화제']
"썬앳푸드, 아메리칸 패밀리 레스토랑 `캐롤스` 오픈…잠실 롯데월드몰 입점",㈜ 썬앳푸드,캐롤이라는 친구의 집,['썬앳 푸드 아메리칸 패밀리 레스토랑 롤스 오픈 잠실 롯데 월드 입점 썬앳 푸드 캐롤 친구']
"국정원 ""평양 인근 폭탄 테러 파악된 바 없어…관련 동향 추적""",국가정보원 ,폭발물 테러,['국정원 평양 인근 폭탄 테러 파악 관련 동향 추적 국가정보원 폭발물 테러']
중국 부동산 자산만 '1경 8000조 원'인데...세계 경제에 '빨간불' [Y녹취록],중국 정부,리먼브라더스 사태,['중국 부동산 자산 세계 경제 녹취록 중국 정부 리먼 브라더스 사태']
"'스텔라라 시밀러' 특허갈등 소멸..셀트·동아ST ""이상無""",인타스),2건의 자사 특허를 침해,['스텔라 밀러 특허 갈등 소멸 셀트 동아 인타 건의 자사 특허 침해']
‘실축할 뻔했던 마지막 키커’ 카일 워커의 고백 “사실 승부차기 차기 싫었어”,맨시티,사적으로도 바람을 피운 사실이 아내에게 발각,['실축 마지막 카일 워커 고백 사실 승부차기 차기 맨시티 사적 바람 사실 아내 발각']
"[할리웃POP]브리트니, 불륜 적발..결혼 14개월만 이혼 당했다",불륜 ,브리트니의 불륜 ,['할리웃 브리트니 불륜 적발 결혼 개월 이혼 불륜 브리트니 불륜']
"""마이데이터, 2025년부터 본격 시행""",마이데이터제도가 2025년 도입된다.정부,마이데이터제도,['마이 데이터 본격 시행 마이 데이터 제도 도입 정부 마이 데이터 제도']
"'MSCI 지수 편입' 한미반도체, 18% 급등…사상 최고가 경신[핫종목]",모건스탠리캐피털인터내셔널,회생,['지수 편입 한미 반도체 급등 사상 최고 경신 종목 모건스탠리 캐피털 인터내셔널 회생']
"세일즈포스, 영업일 돕는 '슬랙 세일즈 엘리베이트' 출시",세일즈포스,일반적으로 영업부 직원은 실질적인 영업 활동을 제대로 하지 못한 것으로 나타났다,['포스 영업일 슬랙 엘리 베이트 출시 포스 일반 영업 직원 실질 영업 활동 제대로']
"브라질 해커 ""보우소나루 전 대통령, 투표기 해킹 의뢰""",브라질 연방경찰,의회 습격 사건,['브라질 해커 보우 나루 대통령 투표 해킹 의뢰 브라질 연방 경찰 의회 습격 사건']
"고양시 “대한민국 독서대전, 콘텐츠 공유하면 치킨 증정” 이벤트",고양시,2023 대한민국 독서대전 고양,['고양시 대한민국 독서 대전 콘텐츠 공유 치킨 증정 이벤트 고양시 대한민국 독서 대전 고양']
"'백현동' 의혹 이재명 ""구속영장 청구하면 제 발로 법원 나가겠다""",더불어민주당 ,백현동 특혜 의혹 사건,['백현동 의혹 이재명 구속영장 청구 법원 민주당 백현동 특혜 의혹 사건']
"HMM, 코로나 이후 첫 어린이 상선체험 재개",코로나19,코로나19,['코로나 이후 어린이 상선 체험 재개 코로나 코로나']
"현대그린푸드, 시니어 배송원 통해 간편식 배송 …""노인 일자리 창출""",현대백화점그룹 ,직장인 점심 식사 배송,['현대 그린 푸드 시니어 배송 통해 간편식 배송 노인 일자리 현대 백화점 그룹 직장인 점심 식사 배송']
"서울신라호텔, 세계 3대 아트페어와 아트캉스 공개",프리즈,2023 프리즈 서울,['서울 신라 호텔 세계 아트 페어 아트 캉스 공개 프리즈 프리즈 서울']
"K리그 외국인 최다 득점자 데얀, 은퇴 선언…""25년 현역 생활 마무리""",한국 ,한국 ,['리그 외국인 득점 데얀 은퇴 선언 현역 생활 마무리 한국 한국']
"어차피 1R 지명권은 없다. 그렇다면 적토망아지? … LG, ‘외야 최대어’ 이승민 지명할까 [FN 아마야구]",LG,예기치 못하게 밀리는 사례,['어차피 지명 적토 망아지 외야 최대 이승민 지명 아마 야구 사례']
박병곤 판사님 이쯤 되면 입장이라도 밝히시지요! [기자수첩-사회],대법원,노무현 전 대통령 부부 명예훼손 혐의,['박병곤 판사 이쯤 입장 기자 수첩 사회 대법원 노무현 대통령 부부 명예훼손 혐의']
생성AI·X·LK99…유행 타는 '밈코인' 투자 유의,트위터,'페페(PEPE)' 등 비트코인 블록체인 표준인 BRC-20 기반 밈코인이 득세했기 때문이다. BRC-20을 토대로 만들어진 비트코인 NFT의 등장,['유행 밈코 투자 유의 트위터 페페 비트코인 블록 체인 표준 기반 밈코인 득세 때문 토대 비트코인 등장']
"사우디 빈살만 왕세자, 수낵 총리 공식 초청에 영국 간다",영국과 사우디 ,카슈끄지 살해,['사우디 빈살 왕세자 수낵 총리 공식 초청 영국 간다 영국 사우디 카슈끄 살해']
연세대 교정 도는 윤기중 명예교수 운구 차량,연세대학교 대우관,윤석열 대통령 부친 윤기중 연세대 명예교수 운구 차량이 17일 고인이 재직했던 서울 서대문구 연세대학교 대우관을 지나고 있다. 2023.8.17/뉴스1,['연세대 교정 윤기 명예 교수 차량 연세대학교 우관 윤석열 대통령 부친 윤기 연세대 명예 교수 차량 고인 재직 서울 서대문구 연세대학교 우관 뉴스']
해피바이러스! 현대캐피탈 홍동선의 라이프스타일,파일럿,배구,['해피 바이러스 현대 캐피탈 선의 라이프스타일 파일럿 배구']
"유엔 안보리, 6년 만에 북한인권 공개회의 개최",유엔 안전보장이사회,북한 인권문제,['유엔 안보리 북한 인권 공개 회의 개최 유엔 안전보장 이사회 북한 인권 문제']
"'6번째 3연투'와 맞바꾼 팀의 5연승…KT가 풀어야 할 과제, 더 뚜렷해졌다",KT 위즈,위기,['연승 과제 위즈 위기']
"시큐레터, 말레이시아 사이버보안 행사 ‘사이버DSA 2023’ 참가","말레이시아 디지털통신부, 국방부, 사이버보안청 등 정부기관",문서 기반 해킹 공격,['레터 말레이시아 사이버 보안 행사 사이버 참가 말레이시아 디지털 신부 국방부 사이버 보안 정부 기관 문서 기반 해킹 공격']
"7만원 독일제에 뒤통수…""싼맛에 샀는데 냉기가 안 나와요""",한국소비자원,해외 쇼핑몰 등에서 판매된 에어컨의 냉방 기능이 작동하지 않는 피해 사례,['독일 뒤통수 냉기 한국 소비자원 해외 쇼핑몰 판매 에어컨 냉방 기능 작동 피해 사례']
"KCC건설, '스위첸 라이브러리'서 입주민 강연회 개최",교보문고,타이타닉호,['건설 스위첸 라이브러리 주민 강연 개최 교보 문고 타이타닉호']
"세라젬, KBS '동행' 프로그램 후원 협약",KBS·초록우산 어린이재단,루게릭병 ,['세라 동행 프로그램 후원 협약 초록 우산 어린이재단 루게릭병']
[지방세제 개편]애 낳고 집 사면 취득세 500만원 한도 면제,1가구 1주택자,전세사기 ,['지방 세제 개편 사면 취득세 한도 면제 가구 주택 전세 사기']
"삼양식품, 매운 국물라면 브랜드 '맵탱' 출시",삼양식품,"맵탱 제품에서 느낄 수 있는 매운맛 종류와 강도를 한눈에 보기 쉽게 그래프로 도식화한 것으로 맵탱 브랜드가 제공하는 다채로운 매운맛을 직관적으로 보여준다.신제품 ‘맵탱 흑후추소고기라면’은 화끈하고 칼칼한 매운맛을 느낄 수 있는 제품으로, 스트레스 해소",['삼양식품 국물 라면 브랜드 출시 삼양식품 제품 종류 강도 한눈 보기 그래프 도식 브랜드 제공 직관 신제품 후추 소고기 라면 제품 스트레스 해소']
방심위원장 해촉된 정연주 후임에 류희림 미디어연대 공동대표,미디어연대 ,"방송통신심의위원회는 최근 해촉된 정연주 전 위원장 후임으로 류희림 미디어연대 공동대표가 위촉됐다고 18일 밝혔다. 대구 출신의 류 신임 방심위원은 KBS, YTN 기자를 거쳐 YTNDMB 이사, YTN 플러스 대표이사 사장, 미디어연대 공동대표 등을 지냈으며 윤석열 대통령이 위촉했다. lisa@yna.co.kr",['방심 위원장 해촉 정연주 후임 희림 미디어 연대 공동 대표 미디어 연대 방송통신 심의 위원회 최근 해촉 정연주 위원장 후임 희림 미디어 연대 대표 위촉 대구 출신 신임 방심위 기자 이사 플러스 대표이사 사장 미디어 연대 공동 대표 윤석열 대통령 위촉']
美 장기채 ETF 사들이는 서학개미…수익률 높이려면 주목할 ‘이것’,미국 ,재정 적자 문제 ,['장기 서학 개미 수익률 주목 미국 재정 적자 문제']
"""김광현-오승환 성공했으니 가능해"" STL, 일본 국가대표 에이스 영입할까",세인트루이스 ,애덤 웨인라이트가 올 시즌 종료 후 현역 은퇴를 선언,['김광현 오승환 일본 국가대표 에이스 세인트루이스 애덤 웨인라이트 시즌 종료 현역 은퇴 선언']
"코란 모독에 성난 파키스탄 무슬림, 교회 습격·방화",파키스탄 ,자란왈라의 기독교인이 코란을 모독했다는 이유로 성난 무슬림들이 기독교 구역을 습격해 교회를 불태우고 여러 채의 집을 파손,['코란 모독 파키스탄 무슬림 교회 습격 방화 파키스탄 자란왈라 기독교인 코란 모독 이유 무슬림 기독교 구역 습격 교회 여러 파손']
‘징비’ 못하는 나라엔 미래 없다[이현종의 시론],"정부와 조직위원회, 전북도","수해나 대형사고, 학교 폭력 ",['징비 나라 미래 이현종 시론 정부 조직 위원회 전북도 수해 대형 사고 학교 폭력']
[송재우의 야구화(話)] 오심도 경기의 일부? 비디오판독 시대엔 헛소리,심판도 사람,스트라이크-볼 판정 문제,['송재우 야구 오심 경기 일부 비디오 판독 시대 헛소리 심판 사람 스트라이크 판정 문제']
‘로또 70억’ 당첨자의 K직장인 인증...“회사 계속 다닐래요”,직장인,동행복권,['로또 당첨 자의 직장인 인증 회사 계속 직장인 행복']
"[연합시론] 전경련 복귀 수순 밟은 4대 그룹, 정경유착 고리 끊을 자신 있나",전경련,국정농단 사태 ,['연합 시론 전경련 복귀 수순 그룹 정경 유착 고리 전경련 국정 농단 사태']
"'우주패권' 강화…머스크의 스페이스X, 2년만에 적자 탈출",일론 머스크,스페이스X가 사실상 우주 발사체 시장을 장악하고 있다고 보도하기도 했다. WSJ는 “스페이스X가 경쟁사들이 따라올 수 없는 속도로 저렴한 가격과 검증된 재사용 로켓을 내세워 발사체 시장의 상당 부분을 장악,['우주 패권 강화 머스크 스페이스 적자 탈출 머스크 스페이스 사실 우주 발사체 시장 장악 보도 스페이스 경쟁 속도 가격 검증 재사용 로켓 발사체 시장 상당 부분 장악']
韓 “원전 포함 '무탄소전원' 확대 필요”…APEC 에너지장관회의서 강조,산업통상자원부 ,탈탄소화 ,['원전 포함 탄소 전원 확대 필요 에너지 장관 회의 강조 산업 통상 자원부 탄소']
"대전관광공사, 해군대학과 업무협약 체결",대전관광공사,꿀잼도시 대전,['대전 관광 공사 해군 대학 업무 협약 체결 대전 관광 공사 꿀잼 도시 대전']
"롯데헬스케어-아이메디신 MOU 체결 ""AI 기반 맞춤형 멘탈케어 가이드 제공""",양 사 ,멘탈 헬스,['롯데 스케 체결 기반 맞춤 멘탈 케어 가이드 제공 멘탈 헬스']
교권 회복 대책 한계와 더 근원적 문제[포럼],학부모,아동학대 처벌 ,['교권 회복 대책 한계 근원 문제 포럼 학부모 아동학대 처벌']
